Number,Request_type,Sector
SR_Req_0963586,DOMESTIC REQUEST,Consultancy Services
SR_Req_0963907,INTERNATIONAL REQUEST,Other
SR_Req_0963972,INTERNATIONAL REQUEST,IT Software
SR_Req_0964007,DOMESTIC REQUEST,Cleaning Services & Consumables
SR_Req_0964369,INTERNATIONAL WIL REQUEST,Other
SR_Req_0965020,DOMESTIC REQUEST,"Consultancy Services, Other, Professional Services"
SR_Req_0965725,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0965836,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0965846,DOMESTIC REQUEST,Other
SR_Req_0965851,DOMESTIC REQUEST,Other
SR_Req_0966071,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0966075,DOMESTIC REQUEST,Professional Services
SR_Req_0966100,DOMESTIC REQUEST,Professional Services
SR_Req_0966185,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0966408,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0966422,DOMESTIC REQUEST,Consultancy Services
SR_Req_0966447,DOMESTIC REQUEST,Professional Services
SR_Req_0966519,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0966540,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0966633,DOMESTIC REQUEST,Other
SR_Req_0967001,INTERNATIONAL REQUEST,Printing Services
SR_Req_0967215,DOMESTIC REQUEST,Other
SR_Req_0967225,INTERNATIONAL REQUEST,Marketing Services
SR_Req_0967241,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0967244,DOMESTIC WIL REQUEST,Other
SR_Req_0967435,DOMESTIC WIL REQUEST,Other
SR_Req_0967449,DOMESTIC REQUEST,Catering
SR_Req_0967670,DOMESTIC REQUEST,Leasing and Real Estate
SR_Req_0967671,DOMESTIC REQUEST,Leasing and Real Estate
SR_Req_0967672,INTERNATIONAL REQUEST,Building Infrastructure and Construction
SR_Req_0967673,INTERNATIONAL REQUEST,Building Infrastructure and Construction
SR_Req_0967714,DOMESTIC REQUEST,Managed Services
SR_Req_0967833,INTERNATIONAL REQUEST,"Furniture, fittings & equipment, Lab supplies and industrial gas"
SR_Req_0967835,INTERNATIONAL REQUEST,IT Software
SR_Req_0967865,DOMESTIC REQUEST,Professional Services
SR_Req_0967892,DOMESTIC REQUEST,  IT Managed Services
SR_Req_0967930,DOMESTIC REQUEST,Consultancy Services
SR_Req_0968104,DOMESTIC REQUEST,Professional Services
SR_Req_0968138,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0968254,INTERNATIONAL REQUEST,Building Infrastructure and Construction
SR_Req_0968265,INTERNATIONAL REQUEST,Promotional Items & Gifts
SR_Req_0968272,DOMESTIC REQUEST,Consultancy Services
SR_Req_0968273,DOMESTIC REQUEST,Consultancy Services
SR_Req_0968276,DOMESTIC REQUEST,Membership and Associations
SR_Req_0968346,DOMESTIC REQUEST,IT Software
SR_Req_0968394,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0968414,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0968718,DOMESTIC REQUEST,Professional Services
SR_Req_0968766,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0968810,DOMESTIC REQUEST,Professional Services
SR_Req_0968818,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0968930,INTERNATIONAL REQUEST,Other
SR_Req_0968958,DOMESTIC REQUEST,Other
SR_Req_0969051,DOMESTIC REQUEST,IT Security Services
SR_Req_0969291,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0969331,DOMESTIC REQUEST,Catering
SR_Req_0969367,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0969563,DOMESTIC REQUEST,"Consumables, Facilities Management, Marketing Services, Office Supplies, Printing Services, Promotional Items & Gifts"
SR_Req_0969831,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers)"
SR_Req_0969946,DOMESTIC REQUEST,"  IT Managed Services, Consultancy Services, Professional Services"
SR_Req_0970204,INTERNATIONAL REQUEST,Printing Services
SR_Req_0970266,DOMESTIC REQUEST,Consultancy Services
SR_Req_0970321,INTERNATIONAL REQUEST,Other
SR_Req_0970409,DOMESTIC REQUEST,Professional Services
SR_Req_0970478,DOMESTIC REQUEST,IT Software
SR_Req_0970719,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0970917,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0970924,DOMESTIC REQUEST,Maintenance Services
SR_Req_0970928,INTERNATIONAL RESEARCH REQUEST,Consultancy Services
